-1,-1,1,1,-1,-1,1,-1,1,-1,-0.082,-0.221,0.38,0.797
-1,-1,1,-1,-1,1,1,1,1,1,-0.096,-0.25,0.402,0.861
-1,-1,1,1,1,-1,-1,-1,-1,1,-0.133,-0.22,0.369,0.959
-1,-1,1,-1,1,1,-1,1,-1,-1,-0.15,-0.257,0.394,1.033
-1,1,-1,1,-1,-1,1,1,-1,-1,-0.097,-0.238,0.393,0.852
-1,1,-1,-1,1,1,-1,-1,1,-1,-0.168,-0.29,0.41,1.118
-1,1,-1,-1,-1,1,1,-1,-1,1,-0.12,-0.281,0.419,0.955
-1,1,-1,1,1,-1,-1,1,1,1,-0.151,-0.259,0.386,1.061
1,1,1,1,-1,1,-1,1,-1,-1,-0.105,-0.229,0.414,0.807
1,1,1,1,1,1,1,1,1,1,-0.157,-0.228,0.405,0.952
1,1,1,-1,-1,-1,-1,-1,-1,1,-0.112,-0.249,0.435,0.831
1,1,1,-1,1,-1,1,-1,1,-1,-0.168,-0.259,0.428,0.996
1,-1,-1,1,1,1,1,-1,-1,1,-0.118,-0.198,0.383,0.825
1,-1,-1,-1,-1,-1,-1,1,1,1,-0.081,-0.221,0.418,0.721
1,-1,-1,-1,1,-1,1,1,-1,-1,-0.128,-0.226,0.408,0.867
1,-1,-1,1,-1,1,-1,-1,1,-1,-0.07,-0.212,0.399,0.708
1,1,1,-1,-1,-1,-1,-1,-1,1,-0.118,-0.249,0.436,0.843
1,1,1,-1,1,-1,1,-1,1,-1,-0.168,-0.255,0.426,0.994
1,1,1,1,1,1,1,1,1,1,-0.16,-0.225,0.403,0.956
1,1,1,1,-1,1,-1,1,-1,-1,-0.107,-0.227,0.412,0.81
-1,1,-1,-1,-1,1,1,-1,-1,1,-0.123,-0.279,0.42,0.958
-1,1,-1,-1,1,1,-1,-1,1,-1,-0.173,-0.289,0.412,1.123
-1,1,-1,1,1,-1,-1,1,1,1,-0.155,-0.261,0.387,1.074
-1,1,-1,1,-1,-1,1,1,-1,-1,-0.104,-0.24,0.394,0.872
-1,-1,1,1,1,-1,-1,-1,-1,1,-0.132,-0.217,0.365,0.955
-1,-1,1,-1,1,1,-1,1,-1,-1,-0.154,-0.257,0.391,1.051
-1,-1,1,1,-1,-1,1,-1,1,-1,-0.091,-0.226,0.382,0.83
-1,-1,1,-1,-1,1,1,1,1,1,-0.097,-0.249,0.4,0.863
1,-1,-1,1,1,1,1,-1,-1,1,-0.121,-0.199,0.385,0.83
1,-1,-1,1,-1,1,-1,-1,1,-1,-0.069,-0.21,0.398,0.7
1,-1,-1,-1,-1,-1,-1,1,1,1,-0.079,-0.219,0.416,0.715
1,-1,-1,-1,1,-1,1,1,-1,-1,-0.13,-0.227,0.409,0.875
